Название вакансии,URL,Название компании,Описание,цна
Специалист по автоматизированному тестированию/ Python QA automation engineer,https://hh.ru/vacancy/34970199?query=python, Лаборатория качества,Опыт автоматизации тестирования от 1 года. Опыт разработки на Python. Опыт работы с Pytest/Selenium/Appium. Опыт работы с Mac...,до 70 000 руб.
Специалист по автоматизированному тестированию/ Python QA automation engineer,https://hh.ru/vacancy/34011719?query=python, Лаборатория качества,Опыт автоматизации тестирования от 1 года. Опыт разработки на Python. Опыт работы с Pytest/Selenium/Appium. Опыт работы с Mac...,до 70 000 руб.
Специалист по автоматизированному тестированию/ Python QA automation engineer,https://hh.ru/vacancy/34488507?query=python, Лаборатория качества,Опыт автоматизации тестирования от 1 года. Опыт разработки на Python. Опыт работы с Pytest/Selenium/Appium. Опыт работы с Mac...,до 70 000 руб.
Специалист по автоматизированному тестированию/ Python QA automation engineer,https://hh.ru/vacancy/34909489?query=python, Лаборатория качества,Опыт автоматизации тестирования от 1 года. Опыт разработки на Python. Опыт работы с Pytest/Selenium/Appium. Опыт работы с Mac...,до 70 000 руб.
Фронтенд разработчик,https://hh.ru/vacancy/35580872?query=python,ООО Астра Студио,Имеете опыт работы с jQuery. Ваши дополнительные плюсы: Опыт работы с Python/Django. Опыт разработки пользовательских сайтов или приложений с...,от 40 000 руб.
Фронтенд разработчик,https://hh.ru/vacancy/35580873?query=python,ООО Астра Студио,Имеете опыт работы с jQuery. Ваши дополнительные плюсы: Опыт работы с Python/Django. Опыт разработки пользовательских сайтов или приложений с...,от 40 000 руб.
Data Engineer / Разработчик со знанием PostgreSQL,https://hh.ru/vacancy/35183253?query=python, Valiotti Analytics,"Ежедневно создавать новые и редактировать старые процедуры на основе текущих для наполнения таблиц хранилища. Ежедневно видоизменять процедуры на SQL для...Уверенное владение SQL (проверяем на тестах). Опыт разработки ETL, проектирования и разработки хранилищ данных и аналитической отчетности (просим рассказать Ваши...",70 000-100 000 руб.
Ведущий системный администратор,https://hh.ru/vacancy/35298269?query=python,ООО Айпи Сервер,Решение текущих запросов через собственную систему тикетов (L1+L2+L3 уровни). - Администрирование серверов и большого спектра прикладного...Обязательно (хотя бы базовое) знание каких-либо языков программирования или умение писать скрипты (Bash или Perl или Python и т...,60 000-90 000 руб.
Ведущий системный администратор,https://hh.ru/vacancy/35297849?query=python,ООО Айпи Сервер,Решение текущих запросов через собственную систему тикетов (L1+L2+L3 уровни). - Администрирование серверов и большого спектра прикладного...Обязательно (хотя бы базовое) знание каких-либо языков программирования или умение писать скрипты (Bash или Perl или Python и т...,60 000-90 000 руб.
Инженер службы поддержки,https://hh.ru/vacancy/35110520?query=python, Smart Development Ltd,"техническая поддержка клиентов. - cвоевременная передача отчетов дежурному инженеру следующей смены. - обеспечение бесперебойной работы сервисов центра обработки данных. - выполнение плановых процедур...Базовые знания PHP - приветствуется. - Опыт написания скриптов на Bash или Python для задач автоматизации. - Хорошие навыки работы с сетями, знание...",1 500-2 500 USD
